Sample in Buffer,Sample in Window,TRIGGER,design_1_i/lepton_if_0_sclk,design_1_i/lepton_if_0_ss,design_1_i/miso_0_1,design_1_i/axi_gpio_0_gpio_io_o,design_1_i/lepton_vospi_0_axis_m_tlast,design_1_i/lepton_vospi_0_axis_m_tuser,design_1_i/lepton_vospi_0_line_out[11:0],design_1_i/lepton_vospi_0_seg_num[3:0],design_1_i/lepton_vospi_0_axis_m_tvalid,design_1_i/lepton_vospi_0_axis_m_tdata[31:0],design_1_i/Net,design_1_i/lepton_vospi_0_line_val,design_1_i/lepton_vospi_0_current_state_wire[3:0],design_1_i/lepton_vospi_0_shift_reg_wire[15:0],design_1_i/lepton_vospi_0_mode[3:0]
278,22,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1110101001101110,1
279,23,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1110101001101110,1
280,24,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1110101001101110,1
281,25,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1101010011011100,1
282,26,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1101010011011100,1
283,27,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1101010011011100,1
284,28,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1101010011011100,1
285,29,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1101010011011100,1
286,30,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1010100110111000,1
287,31,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1010100110111000,1
288,32,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1010100110111000,1
289,33,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1010100110111000,1
290,34,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1010100110111000,1
291,35,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0101001101110000,1
292,36,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0101001101110000,1
293,37,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0101001101110000,1
294,38,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0101001101110000,1
295,39,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0101001101110000,1
296,40,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1010011011100000,1
297,41,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1010011011100000,1
298,42,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1010011011100000,1
299,43,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1010011011100000,1
300,44,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1010011011100000,1
301,45,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0100110111000000,1
302,46,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0100110111000000,1
303,47,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0100110111000000,1
304,48,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0100110111000000,1
305,49,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0100110111000000,1
306,50,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1001101110000000,1
307,51,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1001101110000000,1
308,52,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1001101110000000,1
309,53,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1001101110000000,1
310,54,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1001101110000000,1
311,55,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0011011100000000,1
312,56,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0011011100000000,1
313,57,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0011011100000000,1
314,58,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0011011100000000,1
315,59,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0011011100000000,1
316,60,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0110111000000000,1
317,61,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0110111000000000,1
318,62,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0110111000000000,1
319,63,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0110111000000000,1
320,64,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0110111000000000,1
321,65,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1101110000000000,1
322,66,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1101110000000000,1
323,67,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1101110000000000,1
324,68,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1101110000000000,1
325,69,0,0,0,1,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1101110000000000,1
326,70,0,1,0,1,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1011100000000001,1
327,71,0,1,0,1,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1011100000000001,1
328,72,0,0,0,1,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1011100000000001,1
329,73,0,0,0,1,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1011100000000001,1
330,74,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,1011100000000001,1
331,75,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0111000000000010,1
332,76,0,1,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0111000000000010,1
333,77,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0111000000000010,1
334,78,0,0,0,0,1,0,0,36,0000,0,01110101000001000111010100110111,1,0,1,0111000000000010,1
