Sample in Buffer,Sample in Window,TRIGGER,design_1_i/lepton_if_0_sclk,design_1_i/lepton_if_0_ss,design_1_i/miso_0_1,design_1_i/axi_gpio_0_gpio_io_o,design_1_i/lepton_vospi_0_axis_m_tlast,design_1_i/lepton_vospi_0_axis_m_tuser,design_1_i/lepton_vospi_0_line_out[11:0],design_1_i/lepton_vospi_0_seg_num[3:0],design_1_i/lepton_vospi_0_axis_m_tvalid,design_1_i/lepton_vospi_0_axis_m_tdata[31:0],design_1_i/Net,design_1_i/lepton_vospi_0_line_val,design_1_i/lepton_vospi_0_current_state_wire[3:0],design_1_i/lepton_vospi_0_shift_reg_wire[15:0],design_1_i/lepton_vospi_0_mode[3:0]
186,58,0,0,0,1,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0101001101010111,1
187,59,0,0,0,0,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0101001101010111,1
188,60,0,1,0,0,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,1010011010101110,1
189,61,0,1,0,0,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,1010011010101110,1
190,62,0,1,0,0,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,1010011010101110,1
191,63,0,0,0,0,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,1010011010101110,1
192,64,0,0,0,1,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,1010011010101110,1
193,65,0,1,0,1,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0100110101011101,1
194,66,0,1,0,1,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0100110101011101,1
195,67,0,1,0,1,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0100110101011101,1
196,68,0,0,0,1,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0100110101011101,1
197,69,0,0,0,0,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0100110101011101,1
198,70,0,1,0,0,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,1001101010111010,1
199,71,0,1,0,0,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,1001101010111010,1
200,72,0,1,0,0,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,1001101010111010,1
201,73,0,0,0,0,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,1001101010111010,1
202,74,0,0,0,1,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,1001101010111010,1
203,75,0,1,0,1,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0011010101110101,1
204,76,0,1,0,1,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0011010101110101,1
205,77,0,1,0,1,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0011010101110101,1
206,78,0,0,0,1,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0011010101110101,1
207,79,0,0,0,0,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0011010101110101,1
208,80,0,1,0,0,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0110101011101010,1
209,81,0,1,0,0,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0110101011101010,1
210,82,0,1,0,0,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0110101011101010,1
211,83,0,0,0,0,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0110101011101010,1
212,84,0,0,0,0,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0110101011101010,1
213,85,0,1,0,0,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,1101010111010100,1
214,86,0,1,0,0,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,1101010111010100,1
215,87,0,1,0,0,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,1101010111010100,1
216,88,0,0,0,0,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,1101010111010100,1
217,89,0,0,0,1,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,1101010111010100,1
218,90,0,1,0,1,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,1010101110101001,1
219,91,0,1,0,1,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,1010101110101001,1
220,92,0,1,0,1,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,1010101110101001,1
221,93,0,0,0,1,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,1010101110101001,1
222,94,0,0,0,1,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,1010101110101001,1
223,95,0,1,0,1,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0101011101010011,1
224,96,0,1,0,1,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0101011101010011,1
225,97,0,1,0,1,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0101011101010011,1
226,98,0,0,0,1,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0101011101010011,1
227,99,0,0,0,0,1,0,0,1856,0000,0,11010111010100110111011101010011,1,0,1,0101011101010011,1
228,100,1,1,0,0,1,0,0,1875,0000,0,11010111010100110111011101010011,1,1,1,1010111010100110,1
229,101,0,1,0,0,1,0,0,1875,0000,0,11010111010100110111011101010011,1,1,1,1010111010100110,1
230,102,0,1,0,0,1,0,0,1875,0000,0,11010111010100110111011101010011,1,1,1,1010111010100110,1
231,103,0,0,0,0,1,0,0,1875,0000,0,11010111010100110111011101010011,1,1,1,1010111010100110,1
232,104,0,0,0,1,1,0,0,1875,0000,0,11010111010100110111011101010011,1,1,1,1010111010100110,1
233,105,0,1,0,1,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,0101110101001101,1
234,106,0,1,0,1,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,0101110101001101,1
235,107,0,1,0,1,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,0101110101001101,1
236,108,0,0,0,1,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,0101110101001101,1
237,109,0,0,0,0,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,0101110101001101,1
238,110,0,1,0,0,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,1011101010011010,1
239,111,0,1,0,0,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,1011101010011010,1
240,112,0,1,0,0,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,1011101010011010,1
241,113,0,0,0,0,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,1011101010011010,1
242,114,0,0,0,1,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,1011101010011010,1
243,115,0,1,0,1,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,0111010100110101,1
244,116,0,1,0,1,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,0111010100110101,1
245,117,0,1,0,1,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,0111010100110101,1
246,118,0,0,0,1,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,0111010100110101,1
247,119,0,0,0,0,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,0111010100110101,1
248,120,0,1,0,0,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,1110101001101010,1
249,121,0,1,0,0,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,1110101001101010,1
250,122,0,1,0,0,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,1110101001101010,1
251,123,0,0,0,0,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,1110101001101010,1
252,124,0,0,0,1,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,1110101001101010,1
253,125,0,1,0,1,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,1101010011010101,1
254,126,0,1,0,1,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,1101010011010101,1
255,127,0,1,0,1,1,0,0,1875,0000,0,11010111010100110111011101010011,1,0,1,1101010011010101,1
256,0,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000000011101000,1
257,1,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000000011101000,1
258,2,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000000011101000,1
259,3,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000000011101000,1
260,4,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000000011101000,1
261,5,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000000111010000,1
262,6,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000000111010000,1
