Sample in Buffer,Sample in Window,TRIGGER,design_1_i/spi_master_0_line_val,design_1_i/spi_master_0_rstb,design_1_i/spi_master_0_enb,design_1_i/spi_master_0_spi_clk,design_1_i/spi_master_0_spi_cs,design_1_i/spi_miso_0_1,design_1_i/rst_1,design_1_i/spi_master_0_dinb[31:0],design_1_i/spi_master_0_shift_reg[0:15],design_1_i/spi_master_0_web[3:0],design_1_i/spi_master_0_current_state_wire[3:0],design_1_i/spi_master_0_line_out[7:0]
401,17,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
402,18,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
403,19,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
404,20,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
405,21,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
406,22,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
407,23,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
408,24,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
409,25,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
410,26,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
411,27,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
412,28,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
413,29,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
414,30,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
415,31,1,0,0,0,0,0,0,0,00000000,0000,0,3,0
416,0,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
417,1,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
418,2,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
419,3,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
420,4,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
421,5,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
422,6,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
423,7,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
424,8,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
425,9,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
426,10,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
427,11,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
428,12,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
429,13,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
430,14,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
431,15,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
432,16,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
433,17,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
434,18,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
435,19,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
436,20,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
437,21,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
438,22,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
439,23,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
440,24,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
441,25,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
442,26,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
443,27,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
444,28,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
445,29,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
446,30,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
447,31,1,0,0,0,1,0,0,0,00000000,0000,0,3,0
448,0,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
449,1,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
450,2,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
451,3,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
452,4,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
453,5,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
454,6,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
455,7,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
456,8,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
457,9,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
458,10,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
459,11,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
460,12,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
461,13,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
462,14,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
463,15,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
464,16,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
465,17,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
466,18,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
467,19,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
468,20,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
469,21,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
470,22,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
471,23,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
472,24,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
473,25,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
474,26,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
475,27,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
476,28,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
477,29,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
478,30,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
479,31,1,0,0,0,0,0,0,0,00000000,0000,0,3,0
480,0,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
481,1,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
482,2,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
483,3,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
484,4,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
485,5,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
486,6,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
487,7,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
488,8,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
489,9,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
490,10,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
491,11,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
492,12,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
493,13,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
494,14,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
495,15,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
496,16,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
497,17,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
498,18,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
499,19,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
500,20,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
501,21,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
502,22,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
503,23,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
504,24,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
505,25,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
506,26,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
507,27,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
508,28,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
509,29,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
510,30,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
511,31,1,0,0,0,1,0,0,0,00000000,0000,0,3,0
512,0,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
513,1,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
514,2,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
515,3,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
516,4,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
517,5,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
518,6,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
519,7,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
520,8,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
521,9,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
522,10,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
523,11,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
524,12,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
525,13,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
526,14,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
527,15,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
528,16,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
529,17,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
530,18,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
531,19,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
532,20,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
533,21,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
534,22,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
535,23,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
536,24,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
537,25,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
538,26,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
539,27,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
540,28,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
541,29,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
542,30,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
543,31,1,0,0,0,0,0,0,0,00000000,0000,0,3,0
544,0,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
545,1,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
546,2,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
547,3,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
548,4,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
549,5,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
550,6,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
551,7,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
552,8,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
553,9,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
554,10,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
555,11,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
556,12,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
557,13,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
558,14,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
559,15,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
560,16,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
561,17,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
562,18,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
563,19,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
564,20,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
565,21,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
566,22,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
567,23,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
568,24,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
569,25,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
570,26,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
571,27,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
572,28,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
573,29,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
574,30,0,0,0,0,0,0,1,0,00000000,0000,0,3,0
575,31,1,0,0,0,0,0,0,0,00000000,8000,0,3,0
576,0,0,0,0,0,1,0,1,0,00000000,c000,0,3,0
577,1,0,0,0,0,1,0,1,0,00000000,e000,0,3,0
578,2,0,0,0,0,0,0,1,0,00000000,e000,0,3,0
579,3,0,0,0,0,0,0,1,0,00000000,f000,0,3,0
580,4,0,0,0,0,0,0,1,0,00000000,f800,0,3,0
581,5,0,0,0,0,1,0,1,0,00000000,fc00,0,3,0
582,6,0,0,0,0,1,0,1,0,00000000,fe00,0,3,0
583,7,0,0,0,0,0,0,1,0,00000000,fe00,0,3,0
584,8,0,0,0,0,0,0,1,0,00000000,ff00,0,3,0
585,9,0,0,0,0,0,0,1,0,00000000,ff80,0,3,0
586,10,0,0,0,0,1,0,1,0,00000000,ffc0,0,3,0
587,11,0,0,0,0,1,0,1,0,00000000,ffe0,0,3,0
588,12,0,0,0,0,0,0,1,0,00000000,ffe0,0,3,0
589,13,0,0,0,1,0,0,1,0,ffe00000,fff0,f,4,0
590,14,0,0,0,0,0,0,1,0,ffe00000,fff8,0,3,0
591,15,0,0,0,0,1,0,1,0,ffe00000,fffc,0,3,0
592,16,0,0,0,0,1,0,1,0,ffe00000,fffe,0,3,0
593,17,0,0,0,0,0,0,0,0,ffe00000,fffe,0,3,0
594,18,0,0,0,0,0,0,0,0,ffe00000,7fff,0,3,0
595,19,0,0,0,0,0,0,0,0,ffe00000,3fff,0,3,0
596,20,0,0,0,0,1,0,0,0,ffe00000,1fff,0,3,0
597,21,0,0,0,0,1,0,0,0,ffe00000,0fff,0,3,0
598,22,0,0,0,0,0,0,0,0,ffe00000,0fff,0,3,0
599,23,0,0,0,0,0,0,0,0,ffe00000,07ff,0,3,0
600,24,0,0,0,0,0,0,0,0,ffe00000,03ff,0,3,0
601,25,0,0,0,0,1,0,0,0,ffe00000,01ff,0,3,0
602,26,0,0,0,0,1,0,0,0,ffe00000,00ff,0,3,0
603,27,0,0,0,0,0,0,0,0,ffe00000,00ff,0,3,0
604,28,0,0,0,0,0,0,0,0,ffe00000,007f,0,3,0
605,29,0,0,0,0,0,0,0,0,ffe00000,003f,0,3,0
606,30,0,0,0,0,1,0,0,0,ffe00000,001f,0,3,0
607,31,1,0,0,0,1,0,0,0,ffe00000,000f,0,3,0
608,0,0,0,0,0,0,0,0,0,ffe00000,000f,0,3,0
609,1,0,0,0,1,0,0,0,0,000f0000,0007,f,4,0
610,2,0,0,0,0,0,0,0,0,000f0000,0003,0,3,0
611,3,0,0,0,0,1,0,0,0,000f0000,0001,0,3,0
612,4,0,0,0,0,1,0,0,0,000f0000,0000,0,3,0
613,5,0,0,0,0,0,0,0,0,000f0000,0000,0,3,0
614,6,0,0,0,0,0,0,0,0,000f0000,0000,0,3,0
615,7,0,0,0,0,0,0,0,0,000f0000,0000,0,3,0
616,8,0,0,0,0,1,0,0,0,000f0000,0000,0,3,0
617,9,0,0,0,0,1,0,0,0,000f0000,0000,0,3,0
618,10,0,0,0,0,0,0,0,0,000f0000,0000,0,3,0
619,11,0,0,0,0,0,0,0,0,000f0000,0000,0,3,0
620,12,0,0,0,0,0,0,0,0,000f0000,0000,0,3,0
621,13,0,0,0,0,1,0,0,0,000f0000,0000,0,3,0
622,14,0,0,0,0,1,0,0,0,000f0000,0000,0,3,0
623,15,0,0,0,0,0,0,0,0,000f0000,0000,0,3,0
624,16,0,0,0,0,0,0,0,0,000f0000,0000,0,3,0
625,17,0,0,0,0,0,0,0,0,000f0000,0000,0,3,0
626,18,0,0,0,0,1,0,0,0,000f0000,0000,0,3,0
627,19,0,0,0,0,1,0,0,0,000f0000,0000,0,3,0
628,20,0,0,0,0,0,0,0,0,000f0000,0000,0,3,0
629,21,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
630,22,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
631,23,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
632,24,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
633,25,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
634,26,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
635,27,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
636,28,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
637,29,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
638,30,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
639,31,1,0,0,0,0,0,0,0,00000000,0000,0,3,0
