Sample in Buffer,Sample in Window,TRIGGER,design_1_i/spi_master_0_line_val,design_1_i/spi_master_0_rstb,design_1_i/spi_master_0_enb,design_1_i/spi_master_0_spi_clk,design_1_i/spi_master_0_spi_cs,design_1_i/spi_miso_0_1,design_1_i/rst_1,design_1_i/spi_master_0_dinb[31:0],design_1_i/spi_master_0_shift_reg[0:15],design_1_i/spi_master_0_web[3:0],design_1_i/spi_master_0_current_state_wire[3:0],design_1_i/spi_master_0_line_out[7:0]
33,1,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
34,2,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
35,3,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
36,4,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
37,5,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
38,6,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
39,7,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
40,8,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
41,9,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
42,10,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
43,11,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
44,12,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
45,13,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
46,14,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
47,15,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
48,16,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
49,17,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
50,18,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
51,19,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
52,20,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
53,21,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
54,22,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
55,23,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
56,24,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
57,25,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
58,26,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
59,27,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
60,28,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
61,29,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
62,30,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
63,31,1,0,0,0,0,0,0,0,00000000,0000,0,3,0
64,0,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
65,1,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
66,2,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
67,3,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
68,4,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
69,5,0,0,0,1,0,0,0,0,00000000,0000,f,4,0
70,6,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
71,7,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
72,8,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
73,9,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
74,10,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
75,11,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
76,12,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
