Sample in Buffer,Sample in Window,TRIGGER,design_1_i/lepton_if_0_sclk,design_1_i/lepton_if_0_ss,design_1_i/miso_0_1,design_1_i/reset_0_1,design_1_i/spi_master_0_line_val,design_1_i/spi_master_0_enb,design_1_i/spi_master_0_line_out[7:0],design_1_i/spi_master_0_seg_num[0:3],design_1_i/spi_master_0_shift_reg[0:15],design_1_i/spi_master_0_dinb[31:0],design_1_i/spi_master_0_current_state_wire[3:0],design_1_i/spi_master_0_web[3:0],design_1_i/spi_master_0_rstb
169,41,0,1,0,1,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
170,42,0,0,0,1,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
171,43,0,0,0,1,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
172,44,0,0,0,0,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
173,45,0,1,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
174,46,0,1,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
175,47,0,0,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
176,48,0,0,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
177,49,0,0,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
178,50,0,1,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
179,51,0,1,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
180,52,0,0,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
181,53,0,0,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
182,54,0,0,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
183,55,0,1,0,0,0,0,0,40,0101,0001000000010100,b8100000,2,0,0
184,56,0,1,0,0,0,0,0,40,0101,0001000000010100,b8100000,2,0,0
185,57,0,0,0,0,0,0,0,40,0101,0001000000010100,b8100000,2,0,0
186,58,0,0,0,0,0,0,0,40,0101,0001000000010100,b8100000,2,0,0
187,59,0,0,0,0,0,0,0,40,0101,0001000000010100,b8100000,2,0,0
188,60,0,1,0,0,0,0,0,40,0101,0000100000001010,b8100000,2,0,0
189,61,0,1,0,0,0,0,0,40,0101,0000100000001010,b8100000,2,0,0
190,62,0,0,0,0,0,0,0,40,0101,0000100000001010,b8100000,2,0,0
191,63,0,0,0,0,0,0,0,40,0101,0000100000001010,b8100000,2,0,0
192,0,0,1,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
193,1,0,1,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
194,2,0,0,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
195,3,0,0,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
196,4,0,0,0,0,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
